,entryId,ruleId,Print,conditionMatchType
0,{93cdb2fb-9fcd-428e-a2e1-b4b0fab19782},{b4bf3ecb-cea9-450d-a3fa-fec9a73edc08},1.0,MatchAll
1,{7de4d368-761e-46eb-a216-1c0114bc98b6},{47420f70-ef17-467e-a982-ab4c3abde16e},True,
2,{31d84dd3-7f09-494b-ab1c-71e190bf268c},{47420f70-ef17-467e-a982-ab4c3abde16e},True,
3,{12bd5f8e-94e8-4205-a990-635c24e43c59},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
4,{0fef09f8-7a68-4827-841b-d48afef6ba4c},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
5,{27c79875-25d2-4765-aec2-cb2d1000613f},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,MatchAny
6,{b280c2bf-ca5d-46a1-afc9-7e34d8098ca7},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
7,{e1c591a1-c8b8-4cfa-986a-aa0a689097b6},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
8,{c413f1f2-109f-43ca-a8a2-a40ab689fe86},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
9,{6b9cf286-ec70-4463-bfaf-29f32bb5f0dc},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
10,{48fe1c20-83ef-4163-aa99-882f49f3ec1d},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
11,{12bd5f8e-94e8-4205-a990-635c24e43c59},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
12,{0fef09f8-7a68-4827-841b-d48afef6ba4c},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
13,{27c79875-25d2-4765-aec2-cb2d1000613f},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,MatchAny
14,{b280c2bf-ca5d-46a1-afc9-7e34d8098ca7},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
15,{6b9cf286-ec70-4463-bfaf-29f32bb5f0dc},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
16,{12bd5f8e-94e8-4205-a990-635c24e43c59},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
17,{0fef09f8-7a68-4827-841b-d48afef6ba4c},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
18,{ddcac8c7-e492-4cb9-ac46-28813e195d56},{2f746a4d-4ae1-4bc0-aaef-136d12518fd4},True,
19,{27c79875-25d2-4765-aec2-cb2d1000613f},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,MatchAny
20,{b280c2bf-ca5d-46a1-afc9-7e34d8098ca7},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
21,{e8cc55ec-17a8-4900-8df5-1af801342e9d},{07fb98fd-f25b-4aec-bb99-69d4abd4ec4d},True,
22,{2b410b9c-c940-42ec-be1c-1fcb8cc32bc4},{07fb98fd-f25b-4aec-bb99-69d4abd4ec4d},True,
23,{12bd5f8e-94e8-4205-a990-635c24e43c59},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
24,{0fef09f8-7a68-4827-841b-d48afef6ba4c},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
25,{27c79875-25d2-4765-aec2-cb2d1000613f},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,MatchAny
26,{b280c2bf-ca5d-46a1-afc9-7e34d8098ca7},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
27,{12bd5f8e-94e8-4205-a990-635c24e43c59},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
28,{0fef09f8-7a68-4827-841b-d48afef6ba4c},{f5877f47-78ab-4f33-94e4-c44f18ec6dca},True,
29,{93cdb2fb-9fcd-428e-a2e1-b4b0fab19782},{b4bf3ecb-cea9-450d-a3fa-fec9a73edc08},True,MatchAll
30,{6b9cf286-ec70-4463-bfaf-29f32bb5f0dc},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
31,{6b9cf286-ec70-4463-bfaf-29f32bb5f0dc},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
32,{48fe1c20-83ef-4163-aa99-882f49f3ec1d},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
33,{195b178a-53ad-496e-aae0-282ce7234ae0},{2751c448-6e6b-4c2c-81c1-c8ae02911bd5},True,
34,{4358ef97-578d-4e04-abb1-972e73721c4a},{2751c448-6e6b-4c2c-81c1-c8ae02911bd5},True,
35,{6b9cf286-ec70-4463-bfaf-29f32bb5f0dc},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
36,{48fe1c20-83ef-4163-aa99-882f49f3ec1d},{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},True,
37,{7de4d368-761e-46eb-a216-1c0114bc98b6},{47420f70-ef17-467e-a982-ab4c3abde16e},True,
38,{31d84dd3-7f09-494b-ab1c-71e190bf268c},{47420f70-ef17-467e-a982-ab4c3abde16e},True,
39,{27c79875-25d2-4765-aec2-cb2d1000613f},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,MatchAny
40,{b280c2bf-ca5d-46a1-afc9-7e34d8098ca7},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
41,{e1c591a1-c8b8-4cfa-986a-aa0a689097b6},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
42,{c413f1f2-109f-43ca-a8a2-a40ab689fe86},{f7e75634-7eec-4e67-bec5-5e7750cb9e02},True,
